author,status,title,update_time,url,word_count
 狼扮仙, 连载中,星际归来者, 2018-04-26 22:28:13,http://www.23us.so/xiaoshuo/19586.html, 48253字
 尤格泡泡, 连载中,艾泽拉斯英灵之旅, 2018-04-27 22:10:22,http://www.23us.so/xiaoshuo/22387.html, 845475字
 寂然摘星, 连载中,冰法王座, 2018-04-27 22:12:35,http://www.23us.so/xiaoshuo/19629.html, 185038字
 玖月舞, 连载中,战狂傲天录, 2018-04-27 22:18:16,http://www.23us.so/xiaoshuo/2682.html, 34906字
 北辰海, 连载中,实景红包大抽取, 2018-04-26 22:27:28,http://www.23us.so/xiaoshuo/14988.html, 2117076字
 尹卝, 连载中,美漫世界恶魔猎人, 2018-04-27 22:43:30,http://www.23us.so/xiaoshuo/22736.html, 223210字
 突破天际, 连载中,冰焰帝尊, 2018-04-27 22:19:09,http://www.23us.so/xiaoshuo/21285.html, 3359996字
 折铁, 连载中,北地领主, 2018-04-26 22:27:09,http://www.23us.so/xiaoshuo/17793.html, 496956字
 阎玓, 连载中,三玄天, 2018-04-27 22:43:51,http://www.23us.so/xiaoshuo/21070.html, 552586字
 唐大宋, 连载中,两界大高手, 2018-04-26 22:31:26,http://www.23us.so/xiaoshuo/16621.html, 418810字
 南州十一郎, 连载中,重生原始时代, 2018-04-26 22:33:37,http://www.23us.so/xiaoshuo/14157.html, 1035318字
 凡择丹, 连载中,传奇系统都市行, 2018-04-27 23:14:15,http://www.23us.so/xiaoshuo/20346.html, 1211707字
 坚果的战斗, 连载中,血与火的赞歌, 2018-04-27 22:05:00,http://www.23us.so/xiaoshuo/22857.html, 236823字
 树岚, 连载中,钢铁蒸汽与火焰, 2018-04-27 22:37:09,http://www.23us.so/xiaoshuo/16182.html, 2854586字
 深海朱红, 连载中,圣女之路, 2018-04-26 22:34:05,http://www.23us.so/xiaoshuo/18085.html, 4239120字
 林芝萱, 连载中,妖孽上神历劫记, 2018-04-27 22:10:23,http://www.23us.so/xiaoshuo/22601.html, 171109字
 旖旎萌妃, 连载中,前妻离婚无效, 2017-01-07 15:43:46,http://www.23us.so/xiaoshuo/10525.html, 14320字
 飘雪至秦, 连载中,苍茫月, 2017-01-07 16:19:20,http://www.23us.so/xiaoshuo/10566.html, 13558字
 文希, 连载中,六道袁帝, 2017-01-07 16:51:59,http://www.23us.so/xiaoshuo/10752.html, 2971字
 蓝色风暴之灵, 连载中,神圣天使录, 2017-01-07 17:01:54,http://www.23us.so/xiaoshuo/10819.html, 104575字
 死侍, 连载中,极限神魔, 2017-01-07 16:21:39,http://www.23us.so/xiaoshuo/10579.html, 7301字
 梦游四海, 连载中,神帝之道, 2017-01-07 17:03:10,http://www.23us.so/xiaoshuo/10820.html, 2000字
 韦国兰香, 连载中,《归侠》, 2017-01-07 18:39:11,http://www.23us.so/xiaoshuo/11204.html, 5734字
 L君, 连载中,神之始祖, 2017-01-07 18:40:19,http://www.23us.so/xiaoshuo/11208.html, 2592字
 白桦树之根, 连载中,刀剑神域——背叛, 2017-01-07 18:19:58,http://www.23us.so/xiaoshuo/11138.html, 3427字
 山药王者, 连载中,至尊玄帝, 2017-01-07 18:46:16,http://www.23us.so/xiaoshuo/11298.html, 2494字
 足控, 连载中,挣脱女神的怀抱, 2017-08-22 19:01:44,http://www.23us.so/xiaoshuo/17173.html, 101418字
 岁赋, 连载中,倾天决, 2017-08-22 12:53:52,http://www.23us.so/xiaoshuo/17667.html, 327529字
 少萌主, 连载中,魔脉破源, 2017-08-22 19:47:27,http://www.23us.so/xiaoshuo/16566.html, 456206字
 牛頭三號, 连载中,重启之命运, 2017-02-20 03:02:47,http://www.23us.so/xiaoshuo/1469.html, 26745字
 深山樵隐, 连载中,传奇公爵, 2017-08-21 22:25:34,http://www.23us.so/xiaoshuo/16335.html, 3650504字
 三秃居士, 连载中,海盗之升级系统, 2017-08-22 23:05:41,http://www.23us.so/xiaoshuo/15958.html, 648785字
 点点大人, 连载中,讣简千音, 2017-08-22 01:00:51,http://www.23us.so/xiaoshuo/17283.html, 18180字
 爱丽丝威震天, 连载中,最强决斗王, 2017-02-20 02:38:38,http://www.23us.so/xiaoshuo/4568.html, 25504字
 半点浮萍, 连载中,信仰之手, 2017-02-20 05:48:37,http://www.23us.so/xiaoshuo/9243.html, 451字
 何叹兮, 连载中,光年下的骑士, 2017-02-20 11:59:48,http://www.23us.so/xiaoshuo/546.html, 3101字
 爬开, 连载中,仙武大帝, 2017-02-20 15:56:17,http://www.23us.so/xiaoshuo/6742.html, 3139199字
 望断鱼心, 连载中,封魔真经, 2017-02-20 16:49:56,http://www.23us.so/xiaoshuo/11561.html, 48字
 奶茶的悲哀, 连载中,万古神王, 2017-02-20 17:02:34,http://www.23us.so/xiaoshuo/5813.html, 4691字
 店长推荐, 连载中,史上最强召唤兽, 2017-02-20 14:02:45,http://www.23us.so/xiaoshuo/4935.html, 231字
 苍天青龙, 连载中,苍天不死, 2017-02-20 08:57:21,http://www.23us.so/xiaoshuo/8054.html, 4660字
 文刀章, 连载中,天道轨痕, 2017-02-20 17:31:03,http://www.23us.so/xiaoshuo/6052.html, 5380字
 高帅不富, 连载中,刺杀穿越者, 2017-02-20 20:46:28,http://www.23us.so/xiaoshuo/10924.html, 2362字
 零05, 连载中,盘吞天府, 2017-02-21 02:36:32,http://www.23us.so/xiaoshuo/10688.html, 14155字
 刘家强少, 连载中,武道天才系统, 2017-02-21 03:11:45,http://www.23us.so/xiaoshuo/11299.html, 3886字
 无敌山炮, 连载中,全能副职业系统, 2017-02-23 12:01:18,http://www.23us.so/xiaoshuo/6836.html, 11145字
 更俗, 连载中,大荒蛮神, 2017-02-24 09:05:27,http://www.23us.so/xiaoshuo/1248.html, 0字
 卖牛皮了, 连载中,最领主, 2017-02-23 06:30:08,http://www.23us.so/xiaoshuo/3573.html, 18097字
 虞星辰, 连载中,阴阳天师, 2017-02-23 11:08:15,http://www.23us.so/xiaoshuo/5396.html, 9052字
 醛石, 连载中,辅法魔行, 2017-02-24 09:26:30,http://www.23us.so/xiaoshuo/14226.html, 51266字
 逸恒, 连载中,幻想大召唤, 2017-01-07 18:56:57,http://www.23us.so/xiaoshuo/11333.html, 11162字
 小小流星, 连载中,英雄联盟之剑指莽荒, 2017-01-07 18:58:05,http://www.23us.so/xiaoshuo/11337.html, 6855字
 时间累积回忆, 连载中,一念之间白已变黑, 2017-01-07 18:48:09,http://www.23us.so/xiaoshuo/11302.html, 1794字
 和风翠柳, 连载中,九州上界, 2017-01-07 19:00:41,http://www.23us.so/xiaoshuo/11367.html, 3755字
 苏韵流芳, 连载中,火影之战火重燃, 2017-01-07 19:02:03,http://www.23us.so/xiaoshuo/11375.html, 4746字
 酷匠网大明白, 连载中,天命传奇, 2016-12-23 22:40:01,http://www.23us.so/xiaoshuo/6983.html, 1940字
 柒柒玥, 连载中,七煞侍魂, 2016-12-22 23:30:17,http://www.23us.so/xiaoshuo/11815.html, 3530字
 哥特loli控, 连载中,网游之地精终结者, 2016-12-22 18:53:51,http://www.23us.so/xiaoshuo/6740.html, 4117字
 夏颉, 连载中,九界封尊, 2016-12-22 16:29:57,http://www.23us.so/xiaoshuo/5236.html, 29135字
 yk, 连载中,匹兹堡领主, 2016-12-22 18:54:04,http://www.23us.so/xiaoshuo/4009.html, 3759字
 开大刷小兵, 连载中,规则大师, 2016-12-22 18:54:29,http://www.23us.so/xiaoshuo/11209.html, 3820字
 古轩子, 连载中,逆天悟道录, 2016-12-22 16:30:04,http://www.23us.so/xiaoshuo/4987.html, 2478字
 紫铭风, 连载中,圣天使传说, 2016-12-22 18:53:52,http://www.23us.so/xiaoshuo/3309.html, 16024字
 淋羽伊, 连载中,魔纹道, 2016-12-22 16:30:08,http://www.23us.so/xiaoshuo/7310.html, 11530字
 八月懒蛇, 连载中,超级制服, 2016-12-22 16:49:51,http://www.23us.so/xiaoshuo/969.html, 3766字
 黄羽, 连载中,我若征天, 2016-12-22 16:50:22,http://www.23us.so/xiaoshuo/3343.html, 2469字
 末灵荒苑, 连载中,太岁纪年, 2016-12-22 16:51:27,http://www.23us.so/xiaoshuo/4548.html, 2649字
 跳子琪, 连载中,斩天诀, 2016-12-22 16:50:23,http://www.23us.so/xiaoshuo/1790.html, 4013字
 怒江流, 连载中,万世之皇, 2016-12-22 16:51:21,http://www.23us.so/xiaoshuo/7365.html, 326922字
 莫乱与, 连载中,逆天尸神, 2016-12-22 16:51:03,http://www.23us.so/xiaoshuo/1231.html, 1169字
 迪诺哥, 连载中,武灵星君, 2016-12-22 16:51:08,http://www.23us.so/xiaoshuo/4357.html, 1314字
 血色精灵, 连载中,八门战神, 2016-12-22 16:52:34,http://www.23us.so/xiaoshuo/4130.html, 7903字
 退而结网, 连载中,永恒佣兵, 2016-12-22 16:52:02,http://www.23us.so/xiaoshuo/4209.html, 1143字
 萧夜, 连载中,灵兽志异, 2016-12-22 02:00:26,http://www.23us.so/xiaoshuo/3283.html, 55290字
 逍遥的二哥, 连载中,血战位面, 2016-12-22 02:01:27,http://www.23us.so/xiaoshuo/3745.html, 830384字
 舟行早, 连载中,玄黄之始, 2016-12-22 02:01:35,http://www.23us.so/xiaoshuo/7083.html, 2415字
 舟行早, 连载中,剑与神, 2016-12-22 02:01:35,http://www.23us.so/xiaoshuo/7084.html, 2415字
 将臣子, 连载中,傲神武尊, 2016-12-22 02:01:50,http://www.23us.so/xiaoshuo/6554.html, 11974字
 被划过的夜, 连载中,梁山好汉逐鹿三国, 2016-12-22 02:01:58,http://www.23us.so/xiaoshuo/11439.html, 5765字
 漠北三号, 连载中,罡武战帝, 2016-12-22 02:02:16,http://www.23us.so/xiaoshuo/5536.html, 5774字
 蝉千夏, 连载中,万法神典, 2016-12-22 02:03:05,http://www.23us.so/xiaoshuo/2859.html, 2471字
 织田信长, 连载中,法兰西第一帝国, 2016-12-22 02:03:03,http://www.23us.so/xiaoshuo/3602.html, 32496字
 白名不在, 连载中,星越之门, 2016-01-31 10:23:29,http://www.23us.so/xiaoshuo/608.html, 0字
 帅比海贼团, 连载中,上荒, 2016-02-02 18:05:34,http://www.23us.so/xiaoshuo/1310.html, 0字
 无字想, 连载中,天印劫灵, 2016-02-01 00:26:00,http://www.23us.so/xiaoshuo/11325.html, 0字
 麗人, 连载中,天尊战记, 2016-01-31 17:25:37,http://www.23us.so/xiaoshuo/12646.html, 0字
 唐峻, 连载中,血尊战神, 2016-02-17 04:58:57,http://www.23us.so/xiaoshuo/12777.html, 0字
 酷匠网水晶死神, 连载中,我的女友是吸血鬼, 2016-02-14 14:27:00,http://www.23us.so/xiaoshuo/7941.html, 0字
 骄傲永恒, 连载中,五行皇, 2016-03-02 06:08:18,http://www.23us.so/xiaoshuo/13055.html, 0字
 清公子, 连载中,天武榜, 2016-03-04 00:21:36,http://www.23us.so/xiaoshuo/9362.html, 0字
 苹果味咖啡, 连载中,武步登天, 2016-03-06 02:06:04,http://www.23us.so/xiaoshuo/12158.html, 2343字
 千军万马, 连载中,美女的贴身狂兵, 2016-02-26 07:30:41,http://www.23us.so/xiaoshuo/12959.html, 0字
 权心权意, 连载中,极品兵王, 2016-03-09 16:16:53,http://www.23us.so/xiaoshuo/11979.html, 0字
 风华潇神, 连载中,时空三国战, 2016-03-19 10:10:14,http://www.23us.so/xiaoshuo/12366.html, 0字
 兔子来了, 连载中,仙纵, 2016-03-20 09:39:49,http://www.23us.so/xiaoshuo/13130.html, 0字
 机器人大白, 连载中,九玄灵叶, 2016-03-22 04:35:19,http://www.23us.so/xiaoshuo/2209.html, 0字
 咬舌头, 连载中,天道游戏制造商, 2017-10-26 08:07:01,http://www.23us.so/xiaoshuo/16829.html, 229640字
 无极祥子, 连载中,弑天杀戮, 2017-10-26 08:10:44,http://www.23us.so/xiaoshuo/16824.html, 304288字
 各良人, 连载中,玄幻之源, 2017-10-26 07:02:55,http://www.23us.so/xiaoshuo/18306.html, 230501字
 李若尘枫, 连载中,失败的穿越者, 2017-10-26 09:01:54,http://www.23us.so/xiaoshuo/19573.html, 109518字
 星陨之光, 连载中,远古变, 2017-10-26 15:09:07,http://www.23us.so/xiaoshuo/16252.html, 484844字
 祈秒记忆, 连载中,狱火禁地, 2017-10-26 13:13:44,http://www.23us.so/xiaoshuo/19581.html, 9229字
 灵幻尘, 连载中,三沧, 2017-10-27 00:52:42,http://www.23us.so/xiaoshuo/19603.html, 34753字
 真男人穿粉色, 连载中,笑两难, 2017-10-27 07:11:18,http://www.23us.so/xiaoshuo/19615.html, 3608字
 宓儿爸爸, 连载中,雀武虎龙, 2017-10-26 22:36:07,http://www.23us.so/xiaoshuo/18043.html, 73022字
 醉由我生, 连载中,狱火禁地, 2017-10-27 02:27:39,http://www.23us.so/xiaoshuo/19606.html, 9229字
 大漠牧歌, 连载中,铁骑狂歌, 2017-10-27 06:07:57,http://www.23us.so/xiaoshuo/19613.html, 109773字
 绿色大黄瓜, 连载中,仙妃请自重, 2017-10-27 08:14:48,http://www.23us.so/xiaoshuo/19617.html, 73801字
 溪云逸, 连载中,巫师生活录, 2017-10-27 12:30:08,http://www.23us.so/xiaoshuo/19625.html, 126351字
 超级璇涡, 连载中,异界战武, 2017-10-27 13:49:16,http://www.23us.so/xiaoshuo/18418.html, 31314字
 燃烧的黑火, 连载中,荒野进化狂潮, 2017-10-27 22:52:12,http://www.23us.so/xiaoshuo/18686.html, 116868字
 如果初遇, 连载中,宿命之谜, 2017-10-28 17:43:18,http://www.23us.so/xiaoshuo/16215.html, 1205997字
 思绪飞扬, 连载中,万劫主宰, 2017-10-28 12:44:44,http://www.23us.so/xiaoshuo/1512.html, 437511字
 樱紫敏, 连载中,竹林听风雨, 2017-10-23 12:38:01,http://www.23us.so/xiaoshuo/18653.html, 255568字
 丹凤眸子, 连载中,最强书友, 2017-10-28 19:26:56,http://www.23us.so/xiaoshuo/15522.html, 1914243字
 孤千酒, 连载中,苍茫万界, 2017-10-28 07:44:07,http://www.23us.so/xiaoshuo/16847.html, 33841字
 悦燃, 连载中,从主播到主神, 2017-10-23 15:57:54,http://www.23us.so/xiaoshuo/14889.html, 1831853字
 媳妇叫我猪头, 连载中,我为青神, 2017-10-23 19:11:42,http://www.23us.so/xiaoshuo/16392.html, 515058字
 尘傲, 连载中,无上锋逆, 2017-10-23 22:17:27,http://www.23us.so/xiaoshuo/19001.html, 94352字
 五指山二当家, 连载中,巫师记, 2017-10-23 20:55:35,http://www.23us.so/xiaoshuo/18646.html, 3154368字
 蜗牛你别跑, 连载中,都市之武侠世界大考察, 2017-10-24 01:20:09,http://www.23us.so/xiaoshuo/19207.html, 3986962字
 沧狐, 连载中,道兽仙罗, 2017-10-24 09:19:49,http://www.23us.so/xiaoshuo/16767.html, 331096字
 骑猪晒太阳, 连载中,九天道果, 2017-10-23 23:44:21,http://www.23us.so/xiaoshuo/19461.html, 154601字
 迷之无言, 连载中,迷途维心, 2017-10-24 00:14:19,http://www.23us.so/xiaoshuo/19462.html, 103604字
 天亮打个盹, 连载中,一吼天地崩, 2017-10-24 13:10:24,http://www.23us.so/xiaoshuo/18479.html, 80268字
 横亘万古, 连载中,诛天荒圣, 2017-10-24 12:30:45,http://www.23us.so/xiaoshuo/17937.html, 43002字
 轻语悠扬, 连载中,血炼九荒, 2017-10-24 14:05:48,http://www.23us.so/xiaoshuo/18927.html, 122657字
 阿甘正赚, 连载中,神武禹鼎, 2017-10-24 17:05:53,http://www.23us.so/xiaoshuo/18089.html, 805816字
 钩玉儿, 连载中,真龙樽, 2017-10-25 03:24:29,http://www.23us.so/xiaoshuo/19505.html, 74416字
 以子为名, 连载中,整形医院小相师, 2017-10-25 18:26:09,http://www.23us.so/xiaoshuo/16051.html, 2920838字
 荆鑫, 连载中,大道天地行, 2017-10-25 17:54:51,http://www.23us.so/xiaoshuo/19544.html, 119010字
 史蒂夫史蒂妇, 连载中,出墓人, 2017-10-25 18:57:44,http://www.23us.so/xiaoshuo/17533.html, 41093字
 九月蝉, 连载中,仙衍之路, 2017-10-24 23:53:20,http://www.23us.so/xiaoshuo/19509.html, 7651字
 幽灵栗子面, 连载中,抓精灵, 2017-10-19 22:41:00,http://www.23us.so/xiaoshuo/19288.html, 278973字
 岌岌无名, 连载中,破界伐仙, 2017-10-25 16:50:56,http://www.23us.so/xiaoshuo/19529.html, 108770字
 楚白, 连载中,邪神旌旗, 2017-10-20 07:44:17,http://www.23us.so/xiaoshuo/19303.html, 9312589字
 三叶青莲, 连载中,剑气啸九天, 2017-10-20 01:26:20,http://www.23us.so/xiaoshuo/19293.html, 798168字
 目眺远山, 连载中,黑翼天妖, 2017-10-20 00:23:12,http://www.23us.so/xiaoshuo/19291.html, 449493字
 湘寒, 连载中,双世之缔造之神, 2017-10-20 19:03:03,http://www.23us.so/xiaoshuo/18066.html, 170424字
 诚薇, 完本,影视梦魇系统, 2017-10-21 12:30:00,http://www.23us.so/xiaoshuo/19355.html, 1702538字
 晓趣阁主, 连载中,乱世三界之圣殿轮回, 2017-10-21 15:13:34,http://www.23us.so/xiaoshuo/18654.html, 104601字
 剑数, 连载中,不善, 2017-10-21 20:04:06,http://www.23us.so/xiaoshuo/18567.html, 33927字
 零下5度01, 连载中,造化炼体决, 2017-10-22 11:15:28,http://www.23us.so/xiaoshuo/4004.html, 95894字
 好不狰狞啊, 连载中,灵吞天下, 2017-10-21 20:48:51,http://www.23us.so/xiaoshuo/16201.html, 165826字
 松仁饭团, 连载中,魔刹仙华, 2017-10-22 14:30:04,http://www.23us.so/xiaoshuo/18216.html, 106846字
 专业白厨, 连载中,多元宇宙游学者, 2017-10-22 15:29:03,http://www.23us.so/xiaoshuo/17550.html, 518622字
 公子蜗牛, 连载中,我的异界果园, 2017-10-22 20:34:35,http://www.23us.so/xiaoshuo/16813.html, 339961字
 文傲wa, 连载中,玉皇下凡间, 2017-10-22 09:49:56,http://www.23us.so/xiaoshuo/19393.html, 535220字
 白纸七张, 连载中,史前世界大直播, 2017-10-22 17:16:01,http://www.23us.so/xiaoshuo/16400.html, 326987字
 冷眼笑风尘, 连载中,入世祸乱, 2017-10-23 06:55:21,http://www.23us.so/xiaoshuo/19041.html, 383147字
 盛夏微暗, 连载中,绝世皇帝, 2017-10-06 20:42:56,http://www.23us.so/xiaoshuo/15654.html, 7131769字
 沉默的豌豆, 连载中,泰宏, 2017-10-22 20:35:52,http://www.23us.so/xiaoshuo/18322.html, 182266字
 百里药, 连载中,浪子天尊, 2017-10-23 02:41:33,http://www.23us.so/xiaoshuo/18221.html, 283476字
 叶落林间, 连载中,叶落林间, 2017-10-23 10:45:33,http://www.23us.so/xiaoshuo/19437.html, 173131字
 拾一, 连载中,九鼎战纪, 2017-10-06 17:35:11,http://www.23us.so/xiaoshuo/16531.html, 6381字
 金发36E, 连载中,咸鱼冒险家, 2017-10-07 10:15:22,http://www.23us.so/xiaoshuo/18714.html, 127178字
 冷灵峰, 连载中,圣地七界, 2017-10-06 20:12:32,http://www.23us.so/xiaoshuo/16801.html, 68680字
 弑独梦, 连载中,灵颖皇, 2017-10-09 07:52:28,http://www.23us.so/xiaoshuo/18846.html, 195966字
 裸婴, 连载中,夜阑吟, 2017-10-07 20:25:05,http://www.23us.so/xiaoshuo/17181.html, 165588字
 女佐男佑, 连载中,我在异界玩微信, 2017-10-08 12:34:16,http://www.23us.so/xiaoshuo/17966.html, 115485字
 海贼联萌, 连载中,妖冥, 2017-10-08 16:28:39,http://www.23us.so/xiaoshuo/664.html, 623690字
 芒果宗, 连载中,妖怪事务员, 2017-10-07 13:06:13,http://www.23us.so/xiaoshuo/760.html, 653847字
 我吃青桃子, 连载中,血界之无限进化, 2017-10-09 23:16:39,http://www.23us.so/xiaoshuo/18329.html, 305036字
 暗夜胜日, 连载中,堕落序曲, 2017-10-08 17:05:37,http://www.23us.so/xiaoshuo/18924.html, 42438字
 听枫柔, 连载中,永域枫皇, 2017-10-09 00:15:15,http://www.23us.so/xiaoshuo/18929.html, 81321字
 宋确, 连载中,远方传, 2017-10-09 23:22:34,http://www.23us.so/xiaoshuo/17523.html, 94902字
 一石先生, 连载中,逆月记, 2017-10-09 23:48:47,http://www.23us.so/xiaoshuo/18345.html, 73326字
 闲云浮生, 连载中,不见浮生说, 2017-10-10 00:15:32,http://www.23us.so/xiaoshuo/18762.html, 71237字
 一猫, 连载中,超时空大能, 2017-10-10 09:02:23,http://www.23us.so/xiaoshuo/18889.html, 163947字
